Data,Temp Ar,Umidade Rel
2014-01-02,32.15,82.0
2014-01-03,22.325,69.625
2014-01-04,22.712500000000002,56.25
2014-01-05,24.42105263157895,75.05263157894737
2014-01-07,29.866666666666664,70.5
2014-01-08,23.68,63.0
2014-01-10,23.6,89.0
2014-01-13,24.3,55.5
2014-01-14,24.05,63.0
2014-01-15,21.3,23.0
2014-01-16,26.1,68.5
2014-01-17,27.85,100.0
2014-01-18,28.8875,94.25
2014-01-19,32.449999999999996,64.16666666666667
2014-01-21,33.141666666666666,54.166666666666664
2014-01-22,27.1,92.0
2014-01-23,32.67142857142857,71.71428571428571
2014-01-24,30.03,77.8
2014-01-25,23.38888888888889,65.83333333333333
2014-01-26,23.2,69.0
2014-01-27,26.3,64.75
2014-01-28,27.514285714285712,63.857142857142854
2014-01-30,26.7,57.833333333333336
2014-01-31,22.633333333333336,57.333333333333336
2014-02-01,24.6,55.0
2014-02-02,29.43,70.2
2014-02-03,28.299999999999997,51.0
2014-02-04,26.75,71.0
2014-02-05,27.599999999999998,57.142857142857146
2014-02-06,35.43333333333334,77.0
2014-02-07,32.8,61.25
2014-02-08,27.6,73.0
2014-02-09,30.95,78.0
2014-02-10,29.5,100.0
2014-02-11,23.7,14.0
2014-02-12,28.9,100.0
2014-02-13,25.349999999999998,92.0
2014-02-14,23.605,70.15
2014-02-15,23.53333333333333,61.208333333333336
2014-02-16,24.208333333333332,66.75
2014-02-17,24.436363636363637,82.04545454545455
2014-02-18,25.195833333333336,79.20833333333333
2014-02-19,25.1625,88.375
2014-02-20,25.47,78.9
2014-02-21,23.4,22.0
2014-02-22,21.4375,58.5
2014-02-24,21.9,92.0
2014-02-25,21.15,48.0
2014-02-26,22.1,50.125
2014-02-28,19.1,11.0
2014-03-02,24.40909090909091,71.27272727272727
2014-03-03,23.6125,86.625
2014-03-05,23.1,14.0
2014-03-06,25.5,12.0
2014-03-08,23.314285714285713,72.92857142857143
2014-03-09,23.099999999999998,71.66666666666667
2014-03-10,25.400000000000002,37.0
2014-03-11,23.5,79.88888888888889
2014-03-12,22.531578947368423,67.0
2014-03-13,23.961904761904762,83.33333333333333
2014-03-15,25.65,63.0
2014-03-16,25.342857142857145,91.85714285714286
2014-03-17,24.7,15.0
2014-03-20,23.759999999999998,61.2
2014-03-21,23.5,76.0
2014-03-22,18.983333333333334,63.583333333333336
2014-03-23,18.88095238095238,68.61904761904762
2014-03-24,21.672222222222224,76.22222222222223
2014-03-25,24.05,96.75
2014-03-28,24.75,57.25
2014-03-29,25.639999999999997,62.8
2014-03-31,23.71666666666667,57.833333333333336
2014-04-02,24.0,10.0
2014-04-03,23.3,12.0
2014-04-04,24.28333333333333,70.16666666666667
2014-04-05,25.860000000000003,66.6
2014-04-06,23.25,20.0
2014-04-07,24.2,10.5
2014-04-08,23.7,10.0
2014-04-09,24.125,63.25
2014-04-10,23.1,92.0
2014-04-12,22.133333333333336,70.66666666666667
2014-04-13,16.271428571428572,69.47619047619048
2014-04-14,18.083333333333332,80.75
2014-04-15,18.695238095238096,70.80952380952381
2014-04-16,20.766666666666666,83.83333333333333
2014-04-17,25.919999999999998,63.8
2014-04-19,21.9,44.0
2014-04-20,22.141666666666666,68.91666666666667
2014-04-21,20.792857142857144,85.42857142857143
2014-04-22,19.707692307692305,68.07692307692308
2014-04-23,18.333333333333332,68.41666666666667
2014-04-24,18.295833333333334,68.83333333333333
2014-04-25,18.025000000000002,75.33333333333333
2014-04-26,19.583333333333332,65.875
2014-04-27,20.183333333333334,66.125
2014-04-28,20.808333333333334,63.041666666666664
2014-04-29,20.304166666666667,76.5
2014-04-30,19.4,100.0
2014-05-01,20.7,37.0
2014-05-02,16.8,78.5
2014-05-03,16.8,99.75
2014-05-04,19.7,13.0
2014-05-05,19.866666666666667,18.666666666666668
2014-05-06,20.099999999999998,12.333333333333334
2014-05-08,18.166666666666668,15.333333333333334
2014-05-10,19.52,74.06666666666666
2014-05-11,19.974999999999998,68.91666666666667
2014-05-12,20.666666666666668,82.88888888888889
2014-05-16,17.375,88.5
2014-05-17,15.5,93.0
2014-05-18,15.842857142857143,57.857142857142854
2014-05-19,15.45,78.9375
2014-05-20,16.604166666666668,78.33333333333333
2014-05-21,17.95,83.25
2014-05-22,17.75,11.5
2014-05-23,14.360000000000001,74.0
2014-05-24,11.3125,76.70833333333333
2014-05-25,12.728571428571428,80.21428571428571
2014-05-26,14.46923076923077,74.3076923076923
2014-05-27,17.266666666666666,83.66666666666667
2014-06-02,15.988888888888889,78.77777777777777
2014-06-03,19.1,91.0
2014-06-07,17.6,98.0
2014-06-09,17.725,74.5
2014-06-11,20.200000000000003,96.5
2014-06-12,21.4,26.0
2014-06-15,18.525000000000002,83.75
2014-06-18,14.583333333333334,62.166666666666664
2014-06-19,12.86,74.2
2014-06-20,13.766666666666666,80.66666666666667
2014-06-21,16.349999999999998,82.16666666666667
2014-06-22,17.866666666666667,85.66666666666667
2014-07-04,21.5,53.0
2014-07-07,13.7,75.0
2014-07-08,15.428571428571429,67.28571428571429
2014-07-09,15.695833333333333,79.125
2014-07-10,16.083333333333332,78.91666666666667
2014-07-11,16.229166666666668,82.75
2014-07-12,16.445833333333333,87.375
2014-07-13,17.420833333333334,86.875
2014-07-14,17.645833333333332,89.25
2014-07-15,17.8125,85.58333333333333
2014-07-16,17.962500000000002,86.54166666666667
2014-07-17,17.60833333333333,92.58333333333333
2014-07-18,15.433333333333332,82.91666666666667
2014-07-19,13.362499999999999,76.79166666666667
2014-07-20,14.037500000000001,82.91666666666667
