Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;60417;Mato Grosso;;
1890;92827;Mato Grosso;;
1900;118025;Mato Grosso;;
1920;246612;Mato Grosso;;
1940;193625;Mato Grosso;;
1950;212649;Mato Grosso;;
1960;330610;Mato Grosso;;
1970;612887;Mato Grosso;;
1980;1169812;Mato Grosso;;
1991;2022524;Mato Grosso;;
2000;2505245;Mato Grosso;;
2010;3035122;Mato Grosso;;
2022;3658649;Mato Grosso;;
