Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Distrito Federal;;
1890;;Distrito Federal;;
1900;;Distrito Federal;;
1920;;Distrito Federal;;
1940;;Distrito Federal;;
1950;;Distrito Federal;;
1960;141742;Distrito Federal;;
1970;546015;Distrito Federal;;
1980;1203333;Distrito Federal;;
1991;1598415;Distrito Federal;;
2000;2051146;Distrito Federal;;
2010;2570160;Distrito Federal;;
2022;2817381;Distrito Federal;;
