Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;841539;Pernambuco;;
1890;1030224;Pernambuco;;
1900;1178150;Pernambuco;;
1920;2154835;Pernambuco;;
1940;2688240;Pernambuco;;
1950;3395766;Pernambuco;;
1960;4138289;Pernambuco;;
1970;5253901;Pernambuco;;
1980;6244275;Pernambuco;;
1991;7122548;Pernambuco;;
2000;7929154;Pernambuco;;
2010;8796448;Pernambuco;;
2022;9058931;Pernambuco;;
