Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;159802;Santa Catarina;;
1890;283769;Santa Catarina;;
1900;320289;Santa Catarina;;
1920;668743;Santa Catarina;;
1940;1178340;Santa Catarina;;
1950;1560502;Santa Catarina;;
1960;2146909;Santa Catarina;;
1970;2930411;Santa Catarina;;
1980;3687652;Santa Catarina;;
1991;4538248;Santa Catarina;;
2000;5357864;Santa Catarina;;
2010;6248436;Santa Catarina;;
2022;7610361;Santa Catarina;;
