Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;82137;Espírito Santo;;
1890;135997;Espírito Santo;;
1900;209783;Espírito Santo;;
1920;457328;Espírito Santo;;
1940;790149;Espírito Santo;;
1950;957238;Espírito Santo;;
1960;1418348;Espírito Santo;;
1970;1617857;Espírito Santo;;
1980;2063679;Espírito Santo;;
1991;2598505;Espírito Santo;;
2000;3097498;Espírito Santo;;
2010;3514952;Espírito Santo;;
2022;3833712;Espírito Santo;;
