Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Amapá;;
1890;;Amapá;;
1900;;Amapá;;
1920;;Amapá;;
1940;;Amapá;;
1950;37477;Amapá;;
1960;68889;Amapá;;
1970;116480;Amapá;;
1980;180078;Amapá;;
1991;288690;Amapá;;
2000;477032;Amapá;;
2010;669526;Amapá;;
2022;733759;Amapá;;
