Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;837354;São Paulo;;
1890;1384753;São Paulo;;
1900;2282279;São Paulo;;
1920;4592188;São Paulo;;
1940;7180316;São Paulo;;
1950;9134423;São Paulo;;
1960;12974699;São Paulo;;
1970;17958693;São Paulo;;
1980;25375199;São Paulo;;
1991;31546473;São Paulo;;
2000;37035456;São Paulo;;
2010;41262199;São Paulo;;
2022;44411238;São Paulo;;
