Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;434813;Rio Grande do Sul;;
1890;897455;Rio Grande do Sul;;
1900;1149070;Rio Grande do Sul;;
1920;2182713;Rio Grande do Sul;;
1940;3320689;Rio Grande do Sul;;
1950;4164821;Rio Grande do Sul;;
1960;5448823;Rio Grande do Sul;;
1970;6755458;Rio Grande do Sul;;
1980;7942722;Rio Grande do Sul;;
1991;9135479;Rio Grande do Sul;;
2000;10187842;Rio Grande do Sul;;
2010;10693929;Rio Grande do Sul;;
2022;10882965;Rio Grande do Sul;;
