Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Acre;;
1890;;Acre;;
1900;;Acre;;
1920;92379;Acre;;
1940;79768;Acre;;
1950;114755;Acre;;
1960;160208;Acre;;
1970;218006;Acre;;
1980;306893;Acre;;
1991;417165;Acre;;
2000;557882;Acre;;
2010;733559;Acre;;
2022;830018;Acre;;
