Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;1379616;Bahia;;
1890;1919802;Bahia;;
1900;2117956;Bahia;;
1920;3334465;Bahia;;
1940;3918112;Bahia;;
1950;4834575;Bahia;;
1960;5990605;Bahia;;
1970;7583140;Bahia;;
1980;9597393;Bahia;;
1991;11855157;Bahia;;
2000;13085769;Bahia;;
2010;14016906;Bahia;;
2022;14141626;Bahia;;
