Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;359040;Maranhão;;
1890;430854;Maranhão;;
1900;499308;Maranhão;;
1920;874337;Maranhão;;
1940;1235169;Maranhão;;
1950;1583248;Maranhão;;
1960;2492139;Maranhão;;
1970;3037135;Maranhão;;
1980;4097231;Maranhão;;
1991;4929029;Maranhão;;
2000;5657552;Maranhão;;
2010;6574789;Maranhão;;
2022;6776699;Maranhão;;
