Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;1057696;Rio de Janeiro;;
1890;1399535;Rio de Janeiro;;
1900;1737478;Rio de Janeiro;;
1920;2717244;Rio de Janeiro;;
1940;3611998;Rio de Janeiro;;
1950;4674645;Rio de Janeiro;;
1960;6709891;Rio de Janeiro;;
1970;9110324;Rio de Janeiro;;
1980;11489797;Rio de Janeiro;;
1991;12783761;Rio de Janeiro;;
2000;14392106;Rio de Janeiro;;
2010;15989929;Rio de Janeiro;;
2022;16055174;Rio de Janeiro;;
