Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Rondônia;;
1890;;Rondônia;;
1900;;Rondônia;;
1920;;Rondônia;;
1940;;Rondônia;;
1950;36935;Rondônia;;
1960;70783;Rondônia;;
1970;116620;Rondônia;;
1980;503125;Rondônia;;
1991;1130874;Rondônia;;
2000;1380952;Rondônia;;
2010;1562409;Rondônia;;
2022;1581196;Rondônia;;
