Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;348009;Alagoas;;
1890;511440;Alagoas;;
1900;649273;Alagoas;;
1920;978748;Alagoas;;
1940;951300;Alagoas;;
1950;1093137;Alagoas;;
1960;1271062;Alagoas;;
1970;1606174;Alagoas;;
1980;2011875;Alagoas;;
1991;2512991;Alagoas;;
2000;2827856;Alagoas;;
2010;3120494;Alagoas;;
2022;3127683;Alagoas;;
