Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;176243;Sergipe;;
1890;310926;Sergipe;;
1900;356264;Sergipe;;
1920;477064;Sergipe;;
1940;542326;Sergipe;;
1950;644361;Sergipe;;
1960;760273;Sergipe;;
1970;911251;Sergipe;;
1980;1156642;Sergipe;;
1991;1491867;Sergipe;;
2000;1784829;Sergipe;;
2010;2068017;Sergipe;;
2022;2210004;Sergipe;;
