Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;202222;Piauí;;
1890;267609;Piauí;;
1900;334328;Piauí;;
1920;609003;Piauí;;
1940;817601;Piauí;;
1950;1045696;Piauí;;
1960;1263368;Piauí;;
1970;1734894;Piauí;;
1980;2188150;Piauí;;
1991;2581215;Piauí;;
2000;2843428;Piauí;;
2010;3118360;Piauí;;
2022;3271199;Piauí;;
