Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;376226;Paraíba;;
1890;457232;Paraíba;;
1900;490784;Paraíba;;
1920;961106;Paraíba;;
1940;1422282;Paraíba;;
1950;1713259;Paraíba;;
1960;2018023;Paraíba;;
1970;2445419;Paraíba;;
1980;2810032;Paraíba;;
1991;3200677;Paraíba;;
2000;3444794;Paraíba;;
2010;3766528;Paraíba;;
2022;3974687;Paraíba;;
