Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;721686;Ceará;;
1890;805687;Ceará;;
1900;849127;Ceará;;
1920;1319228;Ceará;;
1940;2091032;Ceará;;
1950;2695450;Ceará;;
1960;3337856;Ceará;;
1970;4491590;Ceará;;
1980;5380432;Ceará;;
1991;6362620;Ceará;;
2000;7431597;Ceará;;
2010;8452381;Ceará;;
2022;8794957;Ceará;;
