Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;126722;Paraná;;
1890;249491;Paraná;;
1900;327136;Paraná;;
1920;685711;Paraná;;
1940;1236276;Paraná;;
1950;2115547;Paraná;;
1960;4296375;Paraná;;
1970;6997682;Paraná;;
1980;7749752;Paraná;;
1991;8443299;Paraná;;
2000;9564643;Paraná;;
2010;10444526;Paraná;;
2022;11444380;Paraná;;
