Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Mato Grosso do Sul;;
1890;;Mato Grosso do Sul;;
1900;;Mato Grosso do Sul;;
1920;;Mato Grosso do Sul;;
1940;238640;Mato Grosso do Sul;;
1950;309395;Mato Grosso do Sul;;
1960;579652;Mato Grosso do Sul;;
1970;1010731;Mato Grosso do Sul;;
1980;1401151;Mato Grosso do Sul;;
1991;1778741;Mato Grosso do Sul;;
2000;2078070;Mato Grosso do Sul;;
2010;2449024;Mato Grosso do Sul;;
2022;2757013;Mato Grosso do Sul;;
