Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;275237;Pará;;
1890;328455;Pará;;
1900;445356;Pará;;
1920;983507;Pará;;
1940;944644;Pará;;
1950;1123273;Pará;;
1960;1550935;Pará;;
1970;2197072;Pará;;
1980;3507312;Pará;;
1991;5181570;Pará;;
2000;6195965;Pará;;
2010;7581051;Pará;;
2022;8120131;Pará;;
