Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;2039735;Minas Gerais;;
1890;3184099;Minas Gerais;;
1900;3594471;Minas Gerais;;
1920;5888174;Minas Gerais;;
1940;6763368;Minas Gerais;;
1950;7782188;Minas Gerais;;
1960;9960040;Minas Gerais;;
1970;11645095;Minas Gerais;;
1980;13651852;Minas Gerais;;
1991;15731961;Minas Gerais;;
2000;17905134;Minas Gerais;;
2010;19597330;Minas Gerais;;
2022;20539989;Minas Gerais;;
