Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;160395;Goiás;;
1890;227572;Goiás;;
1900;255284;Goiás;;
1920;511919;Goiás;;
1940;661226;Goiás;;
1950;1010880;Goiás;;
1960;1626376;Goiás;;
1970;2460007;Goiás;;
1980;3229219;Goiás;;
1991;4012562;Goiás;;
2000;5004197;Goiás;;
2010;6003788;Goiás;;
2022;7056495;Goiás;;
