Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Roraima;;
1890;;Roraima;;
1900;;Roraima;;
1920;;Roraima;;
1940;;Roraima;;
1950;18116;Roraima;;
1960;29489;Roraima;;
1970;41638;Roraima;;
1980;82018;Roraima;;
1991;215950;Roraima;;
2000;324397;Roraima;;
2010;450479;Roraima;;
2022;636707;Roraima;;
