Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;57610;Amazonas;;
1890;147915;Amazonas;;
1900;249756;Amazonas;;
1920;363166;Amazonas;;
1940;438008;Amazonas;;
1950;514099;Amazonas;;
1960;721215;Amazonas;;
1970;960934;Amazonas;;
1980;1449135;Amazonas;;
1991;2102901;Amazonas;;
2000;2817252;Amazonas;;
2010;3483985;Amazonas;;
2022;3941613;Amazonas;;
