Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;;Tocantins;;
1890;;Tocantins;;
1900;;Tocantins;;
1920;;Tocantins;;
1940;165188;Tocantins;;
1950;204041;Tocantins;;
1960;328486;Tocantins;;
1970;537563;Tocantins;;
1980;738688;Tocantins;;
1991;920116;Tocantins;;
2000;1157690;Tocantins;;
2010;1383445;Tocantins;;
2022;1511460;Tocantins;;
