Data,Temp Ar,Umidade Rel
2015-01-01,-9152.083333333334,-9160.583333333334
2015-01-02,-9999.0,-9999.0
2015-01-03,-9999.0,-9999.0
2015-01-04,-9152.0,-9161.708333333334
2015-01-05,-9151.958333333334,-9160.75
2015-01-06,-9569.416666666666,-9579.916666666666
2015-01-07,-9569.583333333334,-9579.833333333334
2015-01-08,-9581.083333333334,-9580.041666666666
2015-01-09,-9999.0,-9999.0
2015-01-10,-9568.916666666666,-9580.291666666666
2015-01-11,-9999.0,-9999.0
2015-01-12,-9567.666666666666,-9580.875
2015-01-13,-9569.708333333334,-9579.833333333334
2015-01-14,-9567.958333333334,-9580.708333333334
2015-01-15,-7872.041666666667,-7905.666666666667
2015-01-16,-9569.416666666666,-9580.125
2015-01-17,-9581.125,-9580.083333333334
2015-01-18,-8721.291666666666,-8742.333333333334
2015-01-19,-8706.333333333334,-8743.666666666666
2015-01-20,-8276.25,-8325.041666666666
2015-01-21,-9137.0,-9162.666666666666
2015-01-22,-8712.458333333334,-8741.583333333334
2015-01-23,-8281.791666666666,-8324.0
2015-01-24,-8294.75,-8322.041666666666
2015-01-25,-9570.875,-9579.833333333334
2015-01-26,-9163.333333333334,-9160.916666666666
2015-01-27,-8293.166666666666,-8323.5
2015-01-28,-9999.0,-9999.0
2015-01-29,-7874.083333333333,-7905.416666666667
2015-01-30,-7844.5,-7907.541666666667
2015-01-31,-9135.208333333334,-9162.875
2015-02-01,-9999.0,-9999.0
2015-02-02,-9999.0,-9999.0
2015-02-03,-8705.708333333334,-8744.625
2015-02-04,-9569.375,-9580.083333333334
2015-02-05,-8724.291666666666,-8741.708333333334
2015-02-06,-9569.416666666666,-9580.0
2015-02-07,-9999.0,-9999.0
2015-02-08,-9570.833333333334,-9579.541666666666
2015-02-09,-9140.666666666666,-9161.125
2015-02-10,-8293.75,-8322.5
2015-02-11,-9999.0,-9999.0
2015-02-12,-7456.583333333333,-7485.791666666667
2015-02-13,-9999.0,-9999.0
2015-02-14,-9138.541666666666,-9161.916666666666
2015-02-15,-9999.0,-9999.0
2015-02-16,-9569.0,-9580.333333333334
2015-02-17,-9999.0,-9999.0
2015-02-18,-9999.0,-9999.0
2015-02-19,-9571.458333333334,-9579.041666666666
2015-02-20,-9999.0,-9999.0
2015-02-21,-9144.5,-9159.5
2015-02-22,-9999.0,-9999.0
2015-02-23,-9999.0,-9999.0
