Data,Temp Ar,Umidade Rel
2018-01-01,223.95833333333334,78.58333333333333
2018-01-02,214.45833333333334,81.83333333333333
2018-01-03,258.2083333333333,73.75
2018-01-04,228.54166666666666,78.91666666666667
2018-01-05,242.75,72.58333333333333
2018-01-06,254.375,74.54166666666667
2018-01-07,259.375,76.08333333333333
2018-01-08,243.95833333333334,72.41666666666667
2018-01-09,244.83333333333334,73.875
2018-01-10,264.6666666666667,69.16666666666667
2018-01-11,219.41666666666666,74.04166666666667
2018-01-12,234.625,70.75
2018-01-13,212.66666666666666,71.45833333333333
2018-01-14,256.7083333333333,70.08333333333333
2018-01-15,224.79166666666666,73.08333333333333
2018-01-16,226.5,73.75
2018-01-17,244.66666666666666,70.16666666666667
2018-01-18,238.125,68.33333333333333
2018-01-19,251.33333333333334,68.33333333333333
2018-01-20,260.625,69.20833333333333
2018-01-21,232.91666666666666,69.79166666666667
2018-01-22,256.9583333333333,68.33333333333333
2018-01-23,269.4583333333333,65.95833333333333
2018-01-24,256.8333333333333,74.25
2018-01-25,245.25,71.16666666666667
2018-01-26,244.20833333333334,72.54166666666667
2018-01-27,260.25,69.625
2018-01-28,239.33333333333334,71.54166666666667
2018-01-29,230.33333333333334,67.625
2018-01-30,263.25,67.70833333333333
2018-01-31,220.29166666666666,84.375
2018-02-01,207.04166666666666,83.70833333333333
2018-02-02,189.375,85.70833333333333
2018-02-03,207.20833333333334,86.375
2018-02-04,-237.70833333333334,-330.5833333333333
2018-02-05,229.125,81.33333333333333
2018-02-06,195.75,82.375
2018-02-07,261.5416666666667,79.66666666666667
2018-02-08,244.20833333333334,74.33333333333333
2018-02-09,233.33333333333334,80.75
2018-02-10,260.6666666666667,76.83333333333333
2018-02-11,251.45833333333334,71.0
2018-02-12,244.125,75.66666666666667
2018-02-13,218.58333333333334,74.0
2018-02-14,-590.1666666666666,-766.5416666666666
2018-02-15,-1037.0416666666667,-1188.1666666666667
2018-02-16,-1054.375,-1185.75
2018-02-17,-1043.7083333333333,-1184.0833333333333
